Protein_id	Subfamily	Clade	Subclade	Group	Subgroup
Bac226_169930504_tax	1	30	8	34	223
Bac226_85583411_tax	1	30	8	34	223
Bac226_146697681_tax	1	30	8	34	223
Bac226_98301950_tax	1	30	8	34	pbt_Bac226_98301950_tax
Bac226_276177800_tax	1	30	8	34	226
Bac226_384739801_tax	1	30	8	34	226
Bac226_402168934_tax	1	30	8	34	tbl_Bac226_402168934_tax
Bac226_372045010_tax	1	30	8	34	229
Bac226_416016887_tax	1	30	8	34	229
Bac226_352536968_tax	1	30	8	34	229
Bac226_36751363_tax	1	30	8	34	229
Bac226_394795556_tax	1	30	8	34	229
Bac226_352784314_tax	1	30	8	34	tbl_Bac226_352784314_tax
Bac226_260877626_tax	1	30	8	34	236
Bac226_227511648_tax	1	30	8	34	236
Bac226_115360890_tax	1	30	8	34	236
Bac226_277115119_tax	1	30	8	34	236
Bac226_13924342_tax	1	30	8	34	236
Bac226_282658107_tax	1	30	8	34	236
Bac226_304006437_tax	1	30	8	34	236
Bac226_63208454_tax	1	30	8	34	243
Bac226_413798459_tax	1	30	8	34	243
Bac226_91125545_tax	1	30	8	34	243
Bac226_341112826_tax	1	30	8	34	pb_242
Bac226_287342970_tax	1	30	8	34	pb_242
Bac226_247494539_tax	1	30	8	34	246
Bac226_308995319_tax	1	30	8	34	246
Bac226_219467938_tax	1	30	8	34	246
Bac226_301278300_tax	1	30	8	34	246
Bac226_269807853_tax	1	30	8	34	246
Bac226_66941528_tax	1	30	8	34	246
Bac226_133101731_tax	1	30	8	34	251
Bac226_263410608_tax	1	30	8	34	251
Bac226_26850738_tax	1	30	8	34	251
Bac226_188126587_tax	1	30	8	34	251
Bac226_148822582_tax	1	30	8	34	251
Bac226_235411073_tax	1	30	8	34	251
Bac226_249176790_tax	1	30	8	34	251
Bac226_111506334_tax	1	30	8	34	251
Bac226_223421582_tax	1	30	8	34	259
Bac226_201514587_tax	1	30	8	34	259
Bac226_94021783_tax	1	30	8	34	259
Bac226_250962648_tax	1	30	8	34	pbt_Bac226_250962648_tax
Bac226_415979458_tax	1	30	8	34	pbt_Bac226_415979458_tax
Bac226_177293817_tax	1	30	8	34	265
Bac226_129592370_tax	1	30	8	34	265
Bac226_372308891_tax	1	30	8	34	265
Bac226_310429910_tax	1	30	8	34	265
Bac226_130767046_tax	1	30	8	34	tbl_Bac226_130767046_tax
Bac226_32231981_tax	1	30	8	34	pbt_Bac226_32231981_tax
Bac226_17288632_tax	1	30	8	34	pbt_Bac226_17288632_tax
Bac226_359312021_tax	1	30	8	34	pbt_Bac226_359312021_tax
Bac226_216924170_tax	1	30	8	34	275
Bac226_170057225_tax	1	30	8	34	275
Bac226_45725454_tax	1	30	8	34	275
Bac226_151829770_tax	1	30	8	34	275
Bac226_86343556_tax	1	30	8	34	275
Bac226_357653303_tax	1	30	8	34	275
Bac226_220625826_tax	1	30	8	34	275
Bac226_2748408_tax	1	30	8	34	275
Bac226_324015892_tax	1	30	8	34	275
Bac226_165956604_tax	1	30	8	34	275
Bac226_36217037_tax	1	30	8	34	275
Bac226_85169940_tax	1	30	8	34	275
Bac226_375149362_tax	1	30	8	34	275
Bac226_71059008_tax	1	30	8	34	275
Bac226_26690513_tax	1	30	8	34	275
Bac226_307260001_tax	1	30	8	34	275
Bac226_339180077_tax	1	30	8	34	275
Bac226_306022102_tax	1	30	8	34	275
Bac226_251017058_tax	1	30	8	34	275
Bac226_29423456_tax	1	30	8	34	275
Bac226_2956681_tax	1	30	8	34	275
Bac226_206747230_tax	1	30	8	34	275
Bac226_158976277_tax	1	30	8	34	275
Bac226_9951532_tax	1	30	8	34	275
Bac226_64239196_tax	1	30	8	34	275
Bac226_415836193_tax	1	30	8	34	275
Bac226_191598642_tax	1	30	8	34	275
Bac226_389967478_tax	1	30	8	34	275
Bac226_20836578_tax	1	30	8	34	275
Bac226_118038807_tax	1	30	8	34	275
Bac226_99325492_tax	1	30	8	34	275
Bac226_142693225_tax	1	30	8	34	275
Bac226_398124549_tax	1	30	8	34	275
Bac226_44488306_tax	1	30	8	34	tbl_Bac226_44488306_tax
Bac226_51206281_tax	1	30	8	34	309
Bac226_416012664_tax	1	30	8	34	309
Bac226_306098859_tax	1	30	8	34	309
Bac226_251690678_tax	1	30	8	34	309
Bac226_311648134_tax	1	30	8	34	309
Bac226_305947836_tax	1	30	8	34	309
Bac226_63014139_tax	1	30	8	34	309
Bac226_411214464_tax	1	30	8	34	315
Bac226_279245353_tax	1	30	8	34	315
Bac226_169372032_tax	1	30	8	34	315
Bac226_108174848_tax	1	30	8	34	323
Bac226_416619676_tax	1	30	8	34	323
Bac226_83204582_tax	1	30	8	34	324
Bac226_349605127_tax	1	30	8	34	324
Bac226_371044016_tax	1	30	8	34	324
Bac226_31816828_tax	1	30	8	34	324
Bac226_50971627_tax	1	30	8	34	324
Bac226_150996470_tax	1	30	8	34	324
Bac226_140038277_tax	1	30	8	34	324
Bac226_305212827_tax	1	30	8	34	324
Bac226_239639661_tax	1	30	8	34	324
Bac226_321355873_tax	1	30	8	34	324
Bac226_402891954_tax	1	30	8	34	324
Bac226_96947132_tax	1	30	8	34	324
Bac226_254938543_tax	1	30	8	34	324
Bac226_323929085_tax	1	30	8	34	324
Bac226_108369649_tax	1	30	8	34	324
Bac226_248050164_tax	1	30	8	34	324
Bac226_329143051_tax	1	30	8	34	324
Bac226_254902233_tax	1	30	8	34	324
Bac226_328051973_tax	1	30	8	34	324
Bac226_106859418_tax	1	30	8	34	324
Bac226_386041828_tax	1	30	8	34	324
Bac226_401584305_tax	1	30	8	34	324
Bac226_120108652_tax	1	30	8	34	324
Bac226_14010386_tax	1	30	8	34	324
Bac226_192936132_tax	1	30	8	34	324
Bac226_192934477_tax	1	30	8	34	324
Bac226_89487128_tax	1	30	8	34	324
Bac226_167199292_tax	1	30	8	34	324
Bac226_15917522_tax	1	30	8	34	324
Bac226_403228125_tax	1	30	8	34	324
Bac226_297589959_tax	1	30	8	34	324
Bac226_98271565_tax	1	30	8	34	324
Bac226_266062991_tax	1	30	8	34	324
Bac226_190757882_tax	1	30	8	34	324
Bac226_340900983_tax	1	30	8	34	324
Bac226_50185623_tax	1	30	8	34	324
Bac226_201699652_tax	1	30	8	34	324
Bac226_112338075_tax	1	30	8	34	324
Bac226_132581547_tax	1	30	8	34	324
Bac226_332743476_tax	1	30	8	34	324
Bac226_6075560_tax	1	30	8	34	324
Bac226_370127529_tax	1	30	8	34	324
Bac226_320696430_tax	1	30	8	34	324
Bac226_235506556_tax	1	30	8	34	324
Bac226_360227913_tax	1	30	8	34	324
Bac226_30013786_tax	1	30	8	34	324
Bac226_228258570_tax	1	30	8	34	324
Bac226_280036048_tax	1	30	8	34	324
Bac226_301705479_tax	1	30	8	34	324
Bac226_53564340_tax	1	30	8	34	324
Bac226_207989510_tax	1	30	8	34	324
Bac226_248954015_tax	1	30	8	34	324
Bac226_289424181_tax	1	30	8	34	324
Bac226_108444100_tax	1	30	8	34	324
Bac226_352569985_tax	1	30	8	34	324
Bac226_237766023_tax	1	30	8	34	324
Bac226_248954648_tax	1	30	8	34	324
Bac226_182197059_tax	1	30	8	34	324
Bac226_1307038_tax	1	30	8	34	324
Bac226_389392431_tax	1	30	8	34	324
Bac226_209820754_tax	1	30	8	34	324
Bac226_218448015_tax	1	30	8	34	324
Bac226_239639962_tax	1	30	8	34	324
Bac226_323565836_tax	1	30	8	34	324
Bac226_248519240_tax	1	30	8	34	324
Bac226_135757284_tax	1	30	8	34	324
Bac226_402820664_tax	1	30	8	34	324
Bac226_197278580_tax	1	30	8	34	324
Bac226_406034414_tax	1	30	8	34	324
Bac226_360204172_tax	1	30	8	34	324
Bac226_356027658_tax	1	30	8	34	324
Bac226_89550210_tax	1	30	8	34	324
Bac226_106859210_tax	1	30	8	34	324
Bac226_323137254_tax	1	30	8	34	324
Bac226_67601039_tax	1	30	8	34	324
Bac226_334628063_tax	1	30	8	34	324
Bac226_261674790_tax	1	30	8	34	324
Bac226_213767061_tax	1	30	8	34	324
Bac226_83982751_tax	1	30	8	34	324
Bac226_154932307_tax	1	30	8	34	324
Bac226_272798219_tax	1	30	8	34	324
Bac226_27667894_tax	1	30	8	34	324
Bac226_34478171_tax	1	30	8	34	324
Bac226_308448410_tax	1	30	8	34	324
Bac226_401584957_tax	1	30	8	34	324
Bac226_53116920_tax	1	30	8	34	324
Bac226_98640315_tax	1	30	8	34	324
Bac226_5683931_tax	1	30	8	34	324
Bac226_409408102_tax	1	30	8	34	324
Bac226_321356549_tax	1	30	8	34	324
Bac226_189471790_tax	1	30	8	34	324
Bac226_7726705_tax	1	30	8	34	324
